Source,Target,Association
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/DrinkingWaterPctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Lead,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Lead_Pctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Cleanups,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Cleanups_Pctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/GroundwaterThreats,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/GW_Threats_Pctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Haz_Waste,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Haz_Waste_Pctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Imp_Water_Bodies,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/ImpWaterBodPctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Solid_Waste,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Solid_Waste_Pctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Pollution,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/PollutionScore,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Pollution_Pctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Asthma,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Asthma_Pctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Low_Birth_Weight,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/LowBirthW_Pctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Cardiovascular,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Cardiovasc_Pctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Education,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Education_Pctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Ling_Isol,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Ling_Isol_Pctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Poverty,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Poverty_Pctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Unemployment,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Unemploy_Pctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/HousBurd,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/HousBurd_Pctl,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/PopChar,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/PopCharScore,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/PopCharP,esri.arcgis.custom.LayerContainsField
