core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,esri.arcgis.custom.Type,esri.arcgis.custom.alias,esri.arcgis.custom.defaultValue,esri.arcgis.custom.domain,esri.arcgis.custom.editable,esri.arcgis.custom.modelName,esri.arcgis.custom.nullable,core.Position
arcgis/CHaviation/Airport_Runways/0/CO,CO,,,,FALSE,esriFieldTypeString,CO,,,True,CO,True,12
arcgis/CHaviation/Airport_Runways/0/MAJOR,MAJOR,,,,FALSE,esriFieldTypeSmallInteger,MAJOR,,,True,MAJOR,True,13
arcgis/CHaviation/Airport_Runways/0/Shape__Length,Shape__Length,,,,FALSE,esriFieldTypeDouble,SHAPE.STLength(),,,False,SHAPE.STLength(),True,14
arcgis/CHaviation/Airport_Runways/0/OBJECTID,OBJECTID,,,,FALSE,esriFieldTypeOID,OBJECTID,,,,,,1
arcgis/CHaviation/Airport_Runways/0/FNODE_,FNODE_,,,,FALSE,esriFieldTypeDouble,FNODE_,,,,,,2
arcgis/CHaviation/Airport_Runways/0/TNODE_,TNODE_,,,,FALSE,esriFieldTypeDouble,TNODE_,,,,,,3
arcgis/CHaviation/Airport_Runways/0/LPOLY_,LPOLY_,,,,FALSE,esriFieldTypeDouble,LPOLY_,,,,,,4
arcgis/CHaviation/Airport_Runways/0/RPOLY_,RPOLY_,,,,FALSE,esriFieldTypeDouble,RPOLY_,,,,,,5
arcgis/CHaviation/Airport_Runways/0/LENGTH,LENGTH,,,,FALSE,esriFieldTypeDouble,LENGTH,,,,,,6
arcgis/CHaviation/Airport_Runways/0/AIRP_RW_,AIRP_RW_,,,,FALSE,esriFieldTypeDouble,AIRP_RW_,,,,,,7
arcgis/CHaviation/Airport_Runways/0/AIRP_RW_ID,AIRP_RW_ID,,,,FALSE,esriFieldTypeDouble,AIRP_RW_ID,,,,,,8
arcgis/CHaviation/Airport_Runways/0/AP_ID,AP_ID,,,,FALSE,esriFieldTypeString,AP_ID,,,,,,9
arcgis/CHaviation/Airport_Runways/0/NAME,NAME,,,,FALSE,esriFieldTypeString,NAME,,,,,,10
arcgis/CHaviation/Airport_Runways/0/DIST,DIST,,,,FALSE,esriFieldTypeSmallInteger,DIST,,,,,,11
arcgis/CHaviation/Airport_Runways/0/CO,CO,,,,FALSE,esriFieldTypeString,CO,,,,,,12
arcgis/CHaviation/Airport_Runways/0/MAJOR,MAJOR,,,,FALSE,esriFieldTypeSmallInteger,MAJOR,,,,,,13
arcgis/CHaviation/Airport_Runways/0/SHAPE,SHAPE,,,,FALSE,esriFieldTypeGeometry,SHAPE,,,,,,14
arcgis/CHaviation/Airport_Runways/0/SHAPE.STLength(),SHAPE.STLength(),,,,FALSE,esriFieldTypeDouble,SHAPE.STLength(),,,,,,15
arcgis/CHaviation/AWOS/0/OBJECTID,OBJECTID,,,,FALSE,esriFieldTypeOID,OBJECTID,,,False,OBJECTID,False,1
arcgis/CHaviation/AWOS/0/COUNTY,COUNTY,,,,FALSE,esriFieldTypeString,County,,,True,County,True,2
arcgis/CHaviation/AWOS/0/AIRPORT,AIRPORT,,,,FALSE,esriFieldTypeString,Station,,,True,Airport,True,3
arcgis/CHaviation/AWOS/0/FREQUENCY,FREQUENCY,,,,FALSE,esriFieldTypeString,Frequency,,,True,Frequency,True,4
arcgis/CHaviation/AWOS/0/PHONE,PHONE,,,,FALSE,esriFieldTypeString,Phone,,,True,Phone,True,5
arcgis/CHaviation/AWOS/0/LATITUDE,LATITUDE,,,,FALSE,esriFieldTypeDouble,Latitude,,,True,Latitude,True,6
arcgis/CHaviation/AWOS/0/LONGITUDE,LONGITUDE,,,,FALSE,esriFieldTypeDouble,Longitude,,,True,Longitude,True,7
arcgis/CHaviation/AWOS/0/FAA_ID,FAA_ID,,,,FALSE,esriFieldTypeString,FAA_ID,,,True,FAA_ID,True,8
arcgis/CHaviation/AWOS/0/LATARC,LATARC,,,,FALSE,esriFieldTypeDouble,LatARC,,,True,LatARC,True,9
arcgis/CHaviation/AWOS/0/LONGARC,LONGARC,,,,FALSE,esriFieldTypeDouble,LongARC,,,True,LongARC,True,10
arcgis/CHaviation/AWOS/0/AWOSTYPE,AWOSTYPE,,,,FALSE,esriFieldTypeString,AWOSTYPE,,,True,AWOSTYPE,True,11
arcgis/CHaviation/AWOS/0/OBJECTID,OBJECTID,,,,FALSE,esriFieldTypeOID,OBJECTID,,,,,,1
arcgis/CHaviation/AWOS/0/COUNTY,COUNTY,,,,FALSE,esriFieldTypeString,County,,,,,,2
arcgis/CHaviation/AWOS/0/AIRPORT,AIRPORT,,,,FALSE,esriFieldTypeString,Station,,,,,,3
