core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,esri.arcgis.custom.Copyright,esri.arcgis.custom.HasVersionedData,esri.arcgis.custom.MaxRecordCount,esri.arcgis.custom.hasArchivedData,esri.arcgis.custom.supportedQueryFormats,esri.arcgis.custom.supportsQueryDataElements,esri.arcgis.custom.type,esri.arcgis.custom.units,core.technicalDescription,esri.arcgis.custom.restServicesLink
arcgis/CHboundary/County_Boundaries,CHboundary/County_Boundaries,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/County_Boundaries/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/County_Boundaries/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/County_Boundaries/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHboundary/County_Tiger_Lines,CHboundary/County_Tiger_Lines,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/County_Tiger_Lines/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/County_Tiger_Lines/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/County_Tiger_Lines/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHboundary/District_Tiger_Lines,CHboundary/District_Tiger_Lines,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/District_Tiger_Lines/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/District_Tiger_Lines/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/District_Tiger_Lines/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHboundary/MPO_Boundaries,CHboundary/MPO_Boundaries,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/MPO_Boundaries/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/MPO_Boundaries/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/MPO_Boundaries/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHboundary/RTPA_Boundaries,CHboundary/RTPA_Boundaries,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/RTPA_Boundaries/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/RTPA_Boundaries/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/RTPA_Boundaries/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,"The
 RTPA_2013 polygon feature class provides California Regional 
Transportation Planning Agencies (RTPA) legislative boundaries, 
primarily for regional planning applications.The 
list of California Transportation Planning Agencies is current as of 
February, 2014, provided by Division of Transportation Planning, Office 
of Regional and Interagency Planning.With the exception of Tahoe 
Regional Planning Agency (TRPA*), all of the RTPA boundaries follow 
county boundaries, some RTPA are multi-county. This feature class was 
created primarily based on 2010 Census county lines exclude the islands.*TRPA
 is actually a bi-state agency created by the U.S. Congress and a 
compact between California and Nevada. Federal laws and California and 
Nevada statutes govern it. TRPA is composed of parts of two counties in 
California, El Dorado and Placer, and two counties in Nevada. The 
portions of two California counties outside the Tahoe basin are part of 
the Sacramento Area Council of Governments (SACOG).Reference: CALCOG GUIDE TO REGIONAL PLANNING, AS REVISED BY SB 375 JANUARY 2009.",
arcgis/CHboundary/Senate_Districts,CHboundary/Senate_Districts,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Senate_Districts/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Senate_Districts/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHboundary/Senate_Districts/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHhighway/Agricultural_Inspection_Stations,CHhighway/Agricultural_Inspection_Stations,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Agricultural_Inspection_Stations/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Agricultural_Inspection_Stations/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Agricultural_Inspection_Stations/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHhighway/All_Roads,CHhighway/All_Roads,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/All_Roads/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/All_Roads/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/All_Roads/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHhighway/Bottlenecks,CHhighway/Bottlenecks,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Bottlenecks/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Bottlenecks/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Bottlenecks/MapServer/query"">ArcGIS Query Link</a",,,FALSE,Copyright © 2021 State of California,,2000,,"JSON, geoJSON, PBF",True,,esriDecimalDegrees,2022 Bottlenecks linear dataset of heavy congestion during peak AM and/or PM periods statewide. These reflect the top 10 ranking bottlenecks in each Caltrans District.,
arcgis/CHhighway/CCBP,CHhighway/CCBP,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/CCBP/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/CCBP/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/CCBP/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHhighway/CCTV,CHhighway/CCTV,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/CCTV/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/CCTV/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/CCTV/MapServer/query"">ArcGIS Query Link</a",,,FALSE,Copyright © 2020 State of California,,2000,,"JSON, geoJSON, PBF",True,,esriDecimalDegrees,,
arcgis/CHhighway/CRS_Functional_Classification,CHhighway/CRS_Functional_Classification,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/CRS_Functional_Classification/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/CRS_Functional_Classification/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/CRS_Functional_Classification/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHhighway/Express_Lanes,CHhighway/Express_Lanes,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Express_Lanes/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Express_Lanes/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Express_Lanes/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriDecimalDegrees,,
arcgis/CHhighway/HOV,CHhighway/HOV,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/HOV/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/HOV/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/HOV/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriDecimalDegrees,,
arcgis/CHhighway/Local_Bridges,CHhighway/Local_Bridges,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Local_Bridges/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Local_Bridges/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Local_Bridges/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHhighway/National_Highway_System,CHhighway/National_Highway_System,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/National_Highway_System/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/National_Highway_System/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/National_Highway_System/MapServer/query"">ArcGIS Query Link</a",,,FALSE,California Department of Transportation (Caltrans),,2000,,"JSON, geoJSON, PBF",True,,esriMeters,"This National Highway System dataset was exported from Caltrans Linear Reference System (LRS) on July 18, 2023. The LRS serves as the framework upon which the Highway Performance Monitoring System (HPMS) and other business data are managed.",
arcgis/CHhighway/Park_and_Ride,CHhighway/Park_and_Ride,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Park_and_Ride/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Park_and_Ride/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Park_and_Ride/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriDecimalDegrees,,
arcgis/CHhighway/Priority_Fuel_Load_Reduction,CHhighway/Priority_Fuel_Load_Reduction,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Priority_Fuel_Load_Reduction/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Priority_Fuel_Load_Reduction/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Priority_Fuel_Load_Reduction/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHhighway/Rest_Areas,CHhighway/Rest_Areas,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Rest_Areas/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Rest_Areas/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/Rest_Areas/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
arcgis/CHhighway/SHN_Lines,CHhighway/SHN_Lines,"<a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/SHN_Lines/MapServer"">ArcGIS REST Services Directory Link</a><br/><a href=""https://www.arcgis.com/apps/mapviewer/index.html?url=https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/SHN_Lines/MapServer&source=sd"">ArcGIS Map Link</a><br/><a href=""https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/SHN_Lines/MapServer/query"">ArcGIS Query Link</a",,,FALSE,,,2000,,"JSON, geoJSON, PBF",True,,esriMeters,,
